Artist,Album,Label,Year,Catalogue,Country,Link,Qty,Format
Huerequeque,Huerequeque EP,Trash Can Dance,2025,TCD254,EE,Discogs|https://www.discogs.com/release/35552626-Huerequeque-Huerequeque-EP,1,MC
Gogdog,(Raadiku Tänava Elanike Originaalköha),Trash Can Dance,2025,TCD472,EE,Discogs|https://www.discogs.com/release/35561857-Gogdog-Raadiku-T%C3%A4nava-Elanike-Originaalk%C3%B6ha,1,MC
Ethermen,Frs-1,Trash Can Dance,,TCD497,EE,Discogs|https://www.discogs.com/release/35553454-Ethermen-Frs-1,2,MC
Hüpnosaurus,Class X 1992 - 1995 (Orange),Kosmos Control,1995,KC 003,EE,Discogs|https://www.discogs.com/release/656740-H%C3%BCpnosaurus-Class-X-1992-1995,1,MC
Hüpnosaurus,Class X 1992 - 1995 (Green),Kosmos Control,1995,KC 003,EE,Discogs|https://www.discogs.com/release/9286806-H%C3%BCpnosaurus-Class-X-1992-1995,1,MC
Röövel Ööbik,Psychikosmos,Kosmos Control,1994,KC 01,EE,Discogs|https://www.discogs.com/release/2397012-R%C3%B6%C3%B6vel-%C3%96%C3%B6bik-Psychikosmos,1,MC
Erinevad Esitajad,Rock Collection,Kuldnokk,1989,-,EE,Discogs|https://www.discogs.com/release/6578889-Various-Rock-Collection,1,MC
Erinevad Esitajad,Punk On Surn'd I,Fucking Cunt Records,1995,FCR003,EE,Discogs|https://www.discogs.com/release/6114653-Various-Punk-On-Surnd-I,2,MC
Erinevad Esitajad,Rock Collection 3,Kuldnokk,1990,-,EE,Discogs|https://www.discogs.com/release/6656286-Various-Rock-Collection-3,1,MC
Noizmakaz,Social Poetry,Metronom Music,2001,-,EE,Discogs|https://www.discogs.com/release/5539328-Noizmakaz-Social-Poetry,1,MC
Velikije Luki,Tallinn Põleb,hyper.records,2002,1045.4,EE,Discogs|https://www.discogs.com/release/2365569-Velikije-Luki-Tallinn-P%C3%B5leb,1,MC
Velikije Luki,Jõuluks Koju,"Levimuusikute Klubi ""Muusik""",1989,MUUSIK 4,EE,Discogs|https://www.discogs.com/release/2724790-Velikije-Luki-J%C3%B5uluks-Koju,2,MC
Erinevad Esitajad,HELLO,Saint Records,1995,-,EE,Discogs|https://www.discogs.com/release/2401322-Various-Hello,2,MC
Lobsand Dorje,Waveforms,Kosmos Control,1994,KC 02,EE,Discogs|https://www.discogs.com/release/2279638-Lobsand-Dorje-Waveforms,1,MC
Erinevad Esitajad,Mätta Fondi 25 Kuldset Lööklaulu 3. Osa,Mätta Fond,2000,MÄF211,EE,Discogs|https://www.discogs.com/release/6957653-Various-M%C3%A4tta-Fondi-25-Kuldset-L%C3%B6%C3%B6klaulu-3-Osa,1,MC
Sitimaan,Sitimaan,X-Music,1992,1,EE,Discogs|https://www.discogs.com/release/6578976-Sitimaan-Sitimaan,2,MC
Vennaskond,Võluri Tagasitulek,Not On Label,1994,-,EE,Discogs|https://www.discogs.com/release/2896322-Vennaskond-V%C3%B5luri-Tagasitulek,2,MC
Claire's Birthday,City Loves,Claire's Birthday Inc,2001,CBI 2-561,EE,Discogs|https://www.discogs.com/release/6911953-Claires-Birthday-City-Loves,1,MC
Kojamees and the Band,Suur Pettus,Not On Label,1994,-,EE,Discogs|https://www.discogs.com/release/2729146-Kojamees-and-the-Band-Suur-Pettus,1,MC
Пropeller,Пropeller,Fugata,1995,FUGMC 2003,EE,Discogs|https://www.discogs.com/release/2786374-%D0%9Fropeller-%D0%9Fropeller,1,MC
Estin,Lennata,Gunnar Loho Music Management,1997,-,EE,Discogs|https://www.discogs.com/release/15647081-Estin-Lennata,1,MC
Estin,Promokassett,Gunnar Loho Music Management,1997,-,EE,Discogs|https://www.discogs.com/release/8552963-Estin-Promokassett,1,MC
Erinevad Esitajad,Suur jalutuskäik 1997 : Eesti kõigi aegade pikim megamix,Gunnar Loho Music Management,1997,-,EE,Discogs|https://www.discogs.com/release/24168458-Various-Suur-jalutusk%C3%A4ik-1997-Eesti-k%C3%B5igi-aegade-pikim-megamix,2,MC
Ritmos Liquidos,Ritmos Liquidos,Top Billin,2016,-,EE,Discogs|https://www.discogs.com/release/8601269-Ritmos-Liquidos-Ritmos-Liquidos,1,MC
Juhhei,Mina pääsen taevasse,Via Music,?,VMC841,FI,NONE,1,MC
Beep Shop Boys,Beep Shop Boys,Not On Label,1995,-,EE,Discogs|https://www.discogs.com/release/11657873-Beep-Shop-Boys-Beep-Shop-Boys,2,MC
Mahavok,Mahavok,Kooperatiiv Laser,1990,-,EE,Discogs|https://www.discogs.com/release/10862099-Mahavok-Mahavok,2,MC
Estin,Estin,Gunnar Loho Music Management,1996,-,EE,Discogs|https://www.discogs.com/release/5419442-Estin-Estin,3,MC
Day Of The Triangle,Taasik,Trash Can Dance,2025,TCD483,EE,Discogs|https://www.discogs.com/release/36015706-Day-Of-The-Triangle-Taasik,1,MC
Endamisi Salamisi,"Muusika Tantsuetendusest ""Kuidas Ehitada Aiapäkapikku""",Trash Can Dance,2025,TCD488,EE,Discogs|https://www.discogs.com/release/35562136-Endamisi-Salamisi-Muusika-Tantsuetendusest-Kuidas-Ehitada-Aiap%C3%A4kapikku,1,MC
Pu-3rh,Sunyata EP,Trash Can Dance,2026,TCD489,EE,Discogs|https://www.discogs.com/release/36016522-Pu-3rh-Sunyata-EP-,1,MC
L.F.Ants,L.F.Dubs,Trash Can Dance,2025,TCD476,EE,Discogs|https://www.discogs.com/release/35561485-LFAnts-LFDubs-,1,MC
COLC,Live @ Ülase 14.11.2025 ,Trash Can Dance,2025,TCD485,EE,Discogs|https://www.discogs.com/release/36015526-COLC-Live-%C3%9Clase-14112025-,1,MC
Erik Alalooga,Lunacy And Trance - Live At Üle Heli 18.10.2025,Trash Can Dance,2025,TCD463,EE,Discogs|https://www.discogs.com/release/35553745-Erik-Alalooga-Lunacy-And-Trance-Live-At-%C3%9Cle-Heli-18102025,1,MC
Kalli Talonpoika,Today's A Day I Feel There Might Not Be A Tomorrow Some Day,Trash Can Dance,2025,TCD319,EE,Discogs|https://www.discogs.com/release/35552863-Kalli-Talonpoika-Todays-A-Day-I-Feel-There-Might-Not-Be-A-Tomorrow-Some-Day,2,MC
Asiilanna,Forgotten Realms / Transition,Trash Can Dance,2023,TCD407,EE,Discogs|https://www.discogs.com/release/28851391-Asiilanna-Forgotten-Realms-Transition,1,MC
Beep Shop Boys,Kaks Aastat Tingimusi,AS Trio,1996,BSBMC01,EE,Discogs|https://www.discogs.com/release/13539570-Beep-Shop-Boys-Kaks-Aastat-Tingimusi,1,MC
Sulev Nõmmik,Kärna Ärni Lood I,Salu Muusik,1992,-,EE,Discogs|https://www.discogs.com/release/23158004-Sulev-N%C3%B5mmik-K%C3%A4rna-%C3%84rni-Lood-1,1,MC
Sulev Nõmmik,Kärna Ärni Lood II,Salu Muusik,1992,-,EE,NONE,1,MC
Metallist,Back Page News,"Kuldnokk, Rocco Music",1989,-,EE,Discogs|https://www.discogs.com/release/6534384-Metallist-Back-Page-News,1,MC
Shower,Humiliator,"Auvi, Soundur Ltd",1992,25,EE,Discogs|https://www.discogs.com/release/2837863-Shower-Humiliator,1,MC
L-Steelo,Tallinna Kõrgeimal Mäel LP,Priisle Records,2020,-,EE,Discogs|https://www.discogs.com/release/15781144-LSteelo-Tallinna-K%C3%B5rgeimal-M%C3%A4el-LP,1,MC
Erinevad Esitajad,Mätta Fondi 25 Kuldset Lööklaulu 2. Osa,Mätta Fond,1998,MÄF3,EE,Discogs|https://www.discogs.com/release/6729043-Various-M%C3%A4tta-Fondi-25-Kuldset-L%C3%B6%C3%B6klaulu-2-Osa,1,MC
NOZEM / MUTANT,Frankie Never Arrived In Hollywood,Stenze Quo Musik,2017,,BE,Discogs|https://www.discogs.com/release/10552016-Nozem-Mutant-Frankie-Never-Arrived-In-Hollywood,1,MC
Out-Or,Paste Special,Wix Records,1997,A0004,EE,Discogs|https://www.discogs.com/release/119769-Out-Or-Paste-Special,1,MC
Viktor Kuu,Tot,Trash Can Dance,2021,TCD293,EE,Discogs|https://www.discogs.com/release/19127572-Viktor-Kuu-Tot,1,MC
SlowedChromeChain,Life Behind The Sun,Trash Can Dance,2019,TCD232,EE,Discogs|https://www.discogs.com/release/14702743-SlowedChromeChain-Life-Behind-The-Sun,2,MC
Asiilanna,Primordial Tale / Limitless,Trash Can Dance,2025,TCD478,EE,Discogs|https://www.discogs.com/release/35570011-Asiilanna-Primordial-Tale-Limitless,1,MC
Darkside,Kosmiline Otsus,Trash Can Dance,2017,TCD128,EE,Discogs|https://www.discogs.com/release/10443866-Darkside-Kosmiline-Otsus,1,MC
Valter Nõmm,Fuzzolini EP,Trash Can Dance,2021,TCD294,EE,Discogs|https://www.discogs.com/release/19211233-Valter-N%C3%B5mm-Fuzzolini-EP,1,MC
SS Robot / NG3,Ostland / 101 Siga,Trash Can Dance,2025,TCD482,EE,Discogs|https://www.discogs.com/release/35579524-SS-Robot-NG3-Ostland-101-Siga,1,MC
"Villem Jahu, Martiini, Riho Kall","85,68 m",Sünoptik,2017,sün 001,EE,Discogs|https://www.discogs.com/release/11244858-Villem-Jahu-Martiini-Riho-Kall-8568-m,1,MC
Killer Masin Ja Uzbekistanskii Special Forces Of Rjap,Maaalused,Trash Can Dance,2015,TCD-89-,EE,Discogs|https://www.discogs.com/release/8121989-Killer-Masin-Ja-Uzbekistanskii-Special-Forces-Of-Rjap-Maaalused,1,MC
Aamen,Halloo Halo,Trash Can Dance,2014,TCD65,EE,Discogs|https://www.discogs.com/release/6344186-Aamen-Halloo-Halo,1,MC
Kalle Ja Astra,Lend,Kaljuste Music Group,1996,KMG 085.4,EE,Discogs|https://www.discogs.com/release/5083781-Kalle-Ja-Astra-Lend,1,MC
Code One,Code One,Valindo,1995,-,EE,Discogs|https://www.discogs.com/release/10720958-CODE-ONE-Code-One,3,MC
Zone,Kirgede Keeled,Metronom,2003,721L-4,EE,Discogs|https://www.discogs.com/release/6899789-Zone-Kirgede-Keeled,1,MC
Operatsioon Õ,Viies Ratas,Aidem Pot Records,1997,POT MC 1039,EE,Discogs|https://www.discogs.com/release/6114136-Operatsioon-%C3%95-Viies-Ratas-,2,MC
"Mölamaffia, Veiks & Tambet",Enne Kasutamist Nõksutada Vol.1,Sonogram Productions,?,-,EE,Discogs|https://www.discogs.com/release/6729326-M%C3%B6lamaffia-Veiks-Trambet-Enne-Kasutamist-N%C3%B5ksutada-Vol1,2,MC
Click OK,Lase Lõdvaks,BooM Productions,1998,-,EE,Discogs|https://www.discogs.com/release/14371935-Click-OK-Lase-L%C3%B5dvaks,2,MC
Hovery Covery,Hoia Mul Käest,Forte,1995,FD 0088,EE,Discogs|https://www.discogs.com/release/11652387-Hovery-Covery-Hoia-Mul-K%C3%A4est,1,MC
Onu Bella,Klounimuusikal,Valindo,1993,OB 4,EE,Discogs|https://www.discogs.com/release/2665289-Onu-Bella-Klounimuusikal,1,MC
Pantokrator,Pantokrator,Tallinna Helikassetitehas,1991,24,EE,Discogs|https://www.discogs.com/release/7544785-Pantokrator-Pantokrator,1,MC
Erinevad Esitajad,Eesti Pop I,Мелодия,1983,СМ01127,EE,Discogs|https://www.discogs.com/release/20359765-Various-Eesti-Pop-I,1,MC
Erinevad Esitajad,Eesti Pop № 11 (Rock),Tallinna Helikassetitehas,1990,3,EE,Discogs|https://www.discogs.com/release/6798733-Various-Eesti-Pop-11-Rock-Estonian-Pop-XI,1,MC
Caater,I,Caater Productions,1997,CPMC001,EE,Discogs|https://www.discogs.com/release/11063233-Caater-I,1,MC
Caater,II Level,Caater Productions,1997,CPMC002,EE,Discogs|https://www.discogs.com/release/11657800-Caater-II-Level,1,MC
Kaido Suss,Laulud Juhan Viidingu Sõnadele,Not On Label,1997,-,EE,NONE,1,MC
Kaido Suss,Pätu Laulud,Kuldnokk,1990?,-,EE,Digar|https://www.digar.ee/arhiiv/et/pildimaterjal/48833,1,MC
Sektor ja Reet Linna,Teineteisele me loodud,AMF,1998,-,EE,NONE,1,MC
Vinged Jütsid,Miljonäriks,Not On Label,2003,VJMC001,EE,NONE,1,MC
